remote_ip_count,times_count
1,337469
2,214560
3,142560
4,101763
5,77625
6,62333
7,51234
8,43425
9,37845
10,33795
11,30264
12,27533
13,25511
14,23551
15,22034
16,20124
17,19127
18,18050
19,16583
20,15641
21,14712
22,13648
23,13448
24,12616
25,11835
26,11450
27,10635
28,10271
29,9579
30,9103
31,8477
32,8176
33,7496
34,7146
35,6701
36,6211
37,5802
38,5255
39,5050
40,4615
41,4178
42,3999
43,3626
44,3423
45,3251
46,3077
47,2842
48,2669
49,2523
50,2333
51,2155
52,2142
53,1886
54,1837
55,1719
56,1634
57,1550
58,1381
59,1266
60,1195
61,1129
63,1022
62,1005
64,855
65,777
66,772
67,719
68,654
69,588
70,587
71,511
72,487
73,426
75,418
74,415
76,360
77,329
79,329
80,291
78,281
82,265
81,260
83,226
84,210
88,206
86,204
85,202
90,197
87,186
89,169
92,164
94,156
91,145
93,144
96,144
95,132
100,119
98,113
99,111
101,109
97,106
106,94
105,92
104,90
103,87
107,85
108,85
110,85
112,78
102,77
109,74
111,73
113,63
114,62
127,56
118,53
119,53
125,53
115,52
117,52
122,51
121,49
116,48
134,46
123,45
124,43
126,43
128,40
130,38
131,38
120,36
136,34
129,32
132,32
148,32
137,29
161,28
133,27
147,27
146,26
139,25
141,25
142,25
145,25
151,23
135,21
140,21
144,21
163,21
143,19
158,19
150,18
154,18
149,17
152,17
153,17
138,16
156,16
157,16
165,16
155,15
159,15
167,15
169,15
172,15
160,14
197,14
162,13
168,13
170,12
173,12
175,12
178,11
179,11
176,10
177,10
183,10
189,10
166,9
181,9
188,9
190,9
196,9
164,8
171,8
191,8
194,8
205,8
207,8
180,7
186,7
192,7
200,7
204,7
211,7
212,7
187,6
210,6
214,6
182,5
195,5
202,5
208,5
229,5
233,5
174,4
185,4
193,4
198,4
199,4
215,4
217,4
224,4
227,4
240,4
241,4
270,4
184,3
203,3
209,3
218,3
222,3
226,3
231,3
232,3
234,3
237,3
239,3
242,3
243,3
249,3
271,3
294,3
315,3
201,2
213,2
216,2
220,2
221,2
225,2
230,2
235,2
238,2
244,2
246,2
247,2
251,2
253,2
255,2
256,2
262,2
265,2
266,2
267,2
269,2
272,2
278,2
286,2
293,2
300,2
309,2
360,2
361,2
366,2
206,1
223,1
228,1
236,1
245,1
248,1
252,1
254,1
257,1
259,1
260,1
263,1
264,1
268,1
274,1
275,1
276,1
277,1
280,1
285,1
288,1
291,1
298,1
302,1
303,1
304,1
307,1
312,1
314,1
320,1
321,1
324,1
325,1
328,1
330,1
336,1
340,1
342,1
344,1
349,1
357,1
383,1
389,1
401,1
410,1
453,1
544,1
554,1
602,1
670,1
965,1
